,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
48,482,19/07/2013 18:40,19/07/2013 18:48,470,W 20 St & 8 Ave,40.74345335,-74.00004031,388,W 26 St & 10 Ave,40.74971775,-74.00295035,19132,Customer,\N,0
49,544,19/07/2013 18:43,19/07/2013 18:52,388,W 26 St & 10 Ave,40.74971775,-74.00295035,474,5 Ave & E 29 St,40.7451677,-73.98683077,14830,Subscriber,1982,1
50,1590,19/07/2013 18:45,19/07/2013 19:12,426,West St & Chambers St,40.71754834,-74.01322069,388,W 26 St & 10 Ave,40.74971775,-74.00295035,16867,Subscriber,1990,1
51,748,19/07/2013 18:48,19/07/2013 19:00,388,W 26 St & 10 Ave,40.74971775,-74.00295035,280,E 10 St & 5 Ave,40.73331967,-73.99510132,19515,Subscriber,1964,1
52,875,19/07/2013 18:49,19/07/2013 19:04,388,W 26 St & 10 Ave,40.74971775,-74.00295035,540,Lexington Ave & E 26 St,40.74147286,-73.98320928,15922,Subscriber,1986,2
53,474,19/07/2013 18:52,19/07/2013 19:00,388,W 26 St & 10 Ave,40.74971775,-74.00295035,540,Lexington Ave & E 26 St,40.74147286,-73.98320928,17716,Subscriber,1976,1
54,717,19/07/2013 18:55,19/07/2013 19:07,388,W 26 St & 10 Ave,40.74971775,-74.00295035,478,11 Ave & W 41 St,40.76030096,-73.99884222,15469,Subscriber,1983,1
55,525,19/07/2013 19:03,19/07/2013 19:11,444,Broadway & W 24 St,40.7423543,-73.98915076,388,W 26 St & 10 Ave,40.74971775,-74.00295035,14778,Subscriber,1983,1
56,538,19/07/2013 19:04,19/07/2013 19:13,388,W 26 St & 10 Ave,40.74971775,-74.00295035,446,W 24 St & 7 Ave,40.74487634,-73.99529885,19670,Subscriber,1979,1
57,270,19/07/2013 19:04,19/07/2013 19:08,388,W 26 St & 10 Ave,40.74971775,-74.00295035,521,8 Ave & W 31 St,40.75044999,-73.99481051,15325,Subscriber,1993,1
